source,target
in11,m16
in12,m16
in6,m17
in13,m17
m17,m18
in5,m18
in9,m19
in11,m19
in10,m20
in7,m20
in11,m21
in14,m21
m17,m22
in7,m22
m20,m23
in10,m23
m20,m24
m20,m24
m18,m25
m18,m25
in14,m26
in14,m26
m25,m27
m20,m27
m22,m28
m18,m28
m19,m29
m28,m29
m23,m30
m21,m30
m21,m31
m17,m31
m22,m32
m26,m32
m32,m33
m22,m33
m20,m34
m29,m34
m23,m35
m22,m35
m26,m36
m23,m36
m31,m37
m24,m37
m35,m38
m29,m38
m24,m39
m30,m39
m27,m40
m26,m40
m30,m41
m37,m41
m31,m42
m35,m42
m42,m43
m35,m43
m38,m44
m43,m44
m41,m45
m30,m45
m44,m46
m43,m46
m33,m47
m38,m47
m34,m48
m47,m48
m39,m49
m35,m49
m47,m50
m48,m50
m38,m51
m41,m51
m41,m52
m50,m52
m44,m53
m52,m53
m39,m54
m52,m54
m44,m55
m52,m55
m47,m56
m43,m56
m53,m57
m49,m57
m49,m58
m51,m58
m49,m59
m50,m59
m45,m60
m55,m60
m51,m61
m57,m61
m49,m62
m61,m62
m52,m63
m48,m63
m61,m64
m56,m64
m63,m65
m59,m65
m57,m66
m53,m66
m59,m67
m57,m67
m55,m68
m62,m68
m54,m69
m55,m69
m69,m70
m59,m70
m63,m71
m62,m71
m65,m72
m58,m72
m59,m73
m61,m73
m66,m74
m67,m74
m72,m75
m65,m75
m65,m76
m75,m76
m73,m77
m76,m77
m64,m78
m70,m78
m71,m79
m69,m79
m70,m80
m73,m80
m79,m81
m72,m81
m67,m82
m71,m82
m16,o83
m36,o84
m40,o85
m46,o86
m60,o87
m68,o88
m74,o89
m77,o90
m78,o91
m80,o92
m81,o93
m82,o94
