source,target
in18,m20
in18,m20
in19,m21
in13,m21
in13,m22
in10,m22
in19,m23
in8,m23
in5,m24
in14,m24
m24,m25
in12,m25
in16,m26
in13,m26
in19,m27
m26,m27
in11,m28
in16,m28
in11,m29
m24,m29
m20,m30
in16,m30
m27,m31
m23,m31
in19,m32
m28,m32
in19,m33
m22,m33
in16,m34
in18,m34
m21,m35
in19,m35
m26,m36
m25,m36
m27,m37
m27,m37
m35,m38
m21,m38
m35,m39
m36,m39
m34,m40
m24,m40
m23,m41
m38,m41
m24,m42
m39,m42
m26,m43
m24,m43
m35,m44
m43,m44
m36,m45
m31,m45
m38,m46
m31,m46
m29,m47
m39,m47
m39,m48
m39,m48
m37,m49
m46,m49
m47,m50
m42,m50
m33,m51
m41,m51
m42,m52
m49,m52
m52,m53
m46,m53
m43,m54
m51,m54
m37,m55
m49,m55
m44,m56
m53,m56
m43,m57
m48,m57
m55,m58
m50,m58
m43,m59
m52,m59
m42,m60
m42,m60
m56,m61
m45,m61
m52,m62
m57,m62
m57,m63
m50,m63
m53,m64
m53,m64
m63,m65
m53,m65
m57,m66
m61,m66
m51,m67
m54,m67
m64,m68
m62,m68
m52,m69
m66,m69
m53,m70
m64,m70
m53,m71
m58,m71
m61,m72
m61,m72
m55,m73
m59,m73
m63,m74
m68,m74
m58,m75
m58,m75
m74,m76
m65,m76
m61,m77
m71,m77
m72,m78
m76,m78
m61,m79
m76,m79
m64,m80
m72,m80
m63,m81
m64,m81
m75,m82
m66,m82
m69,m83
m73,m83
m65,m84
m71,m84
m78,m85
m83,m85
m71,m86
m80,m86
m85,m87
m75,m87
m72,m88
m81,m88
m82,m89
m73,m89
m86,m90
m82,m90
m84,m91
m83,m91
m76,m92
m79,m92
m75,m93
m74,m93
m90,m94
m80,m94
m80,m95
m77,m95
m82,m96
m95,m96
m94,m97
m83,m97
m93,m98
m86,m98
m93,m99
m90,m99
m95,m100
m81,m100
m96,m101
m88,m101
m83,m102
m87,m102
m96,m103
m100,m103
m93,m104
m92,m104
m102,m105
m99,m105
m89,m106
m97,m106
m106,m107
m104,m107
m92,m108
m94,m108
m97,m109
m98,m109
m100,m110
m106,m110
m93,m111
m106,m111
m95,m112
m109,m112
m102,m113
m101,m113
m109,m114
m103,m114
m114,m115
m108,m115
m111,m116
m102,m116
m105,m117
m98,m117
m102,m118
m105,m118
m108,m119
m112,m119
m115,m120
m115,m120
m117,m121
m119,m121
m116,m122
m112,m122
m122,m123
m109,m123
m115,m124
m111,m124
m106,m125
m122,m125
m110,m126
m116,m126
m113,m127
m123,m127
m119,m128
m124,m128
m118,m129
m114,m129
m112,m130
m128,m130
m125,m131
m126,m131
m116,m132
m130,m132
m125,m133
m114,m133
m127,m134
m131,m134
m127,m135
m119,m135
m134,m136
m121,m136
m128,m137
m134,m137
m133,m138
m127,m138
m122,m139
m137,m139
m135,m140
m134,m140
m134,m141
m139,m141
m130,m142
m129,m142
m141,m143
m133,m143
m138,m144
m125,m144
m131,m145
m138,m145
m132,m146
m131,m146
m145,m147
m146,m147
m133,m148
m145,m148
m143,m149
m140,m149
m147,m150
m140,m150
m141,m151
m133,m151
m143,m152
m134,m152
m146,m153
m134,m153
m153,m154
m147,m154
m146,m155
m142,m155
m140,m156
m144,m156
m150,m157
m155,m157
m142,m158
m143,m158
m157,m159
m151,m159
m145,m160
m144,m160
m143,m161
m146,m161
m148,m162
m148,m162
m150,m163
m146,m163
m156,m164
m152,m164
m160,m165
m154,m165
m149,m166
m155,m166
m153,m167
m166,m167
m160,m168
m154,m168
m167,m169
m168,m169
m167,m170
m151,m170
m165,m171
m160,m171
m30,o172
m32,o173
m40,o174
m60,o175
m67,o176
m70,o177
m91,o178
m107,o179
m120,o180
m136,o181
m158,o182
m159,o183
m161,o184
m162,o185
m163,o186
m164,o187
m169,o188
m170,o189
m171,o190
