source,target
in1,m17
in2,m17
in8,m18
in12,m18
in9,m19
in6,m19
in6,m20
in6,m20
in7,m21
m18,m21
in13,m22
in16,m22
m20,m23
in10,m23
in15,m24
in12,m24
in10,m25
m19,m25
in10,m26
in12,m26
m17,m27
in12,m27
in12,m28
m20,m28
m20,m29
m27,m29
m23,m30
m27,m30
m22,m31
m20,m31
m22,m32
m26,m32
m19,m33
m26,m33
m26,m34
m31,m34
m20,m35
m30,m35
m29,m36
m22,m36
m36,m37
m36,m37
m23,m38
m27,m38
m24,m39
m23,m39
m38,m40
m30,m40
m30,m41
m28,m41
m27,m42
m26,m42
m36,m43
m29,m43
m41,m44
m41,m44
m37,m45
m30,m45
m32,m46
m31,m46
m44,m47
m38,m47
m34,m48
m47,m48
m40,m49
m34,m49
m45,m50
m38,m50
m36,m51
m46,m51
m36,m52
m38,m52
m52,m53
m49,m53
m49,m54
m47,m54
m41,m55
m41,m55
m44,m56
m46,m56
m52,m57
m49,m57
m51,m58
m47,m58
m48,m59
m43,m59
m45,m60
m57,m60
m48,m61
m49,m61
m61,m62
m55,m62
m48,m63
m62,m63
m51,m64
m51,m64
m58,m65
m56,m65
m64,m66
m61,m66
m65,m67
m53,m67
m63,m68
m62,m68
m56,m69
m55,m69
m64,m70
m66,m70
m58,m71
m70,m71
m65,m72
m61,m72
m68,m73
m58,m73
m67,m74
m67,m74
m67,m75
m62,m75
m64,m76
m64,m76
m69,m77
m72,m77
m77,m78
m67,m78
m70,m79
m64,m79
m71,m80
m76,m80
m71,m81
m68,m81
m79,m82
m81,m82
m74,m83
m80,m83
m69,m84
m72,m84
m79,m85
m80,m85
m80,m86
m82,m86
m86,m87
m82,m87
m79,m88
m77,m88
m74,m89
m77,m89
m77,m90
m80,m90
m21,o91
m25,o92
m33,o93
m35,o94
m39,o95
m42,o96
m50,o97
m54,o98
m59,o99
m60,o100
m73,o101
m75,o102
m78,o103
m83,o104
m84,o105
m85,o106
m87,o107
m88,o108
m89,o109
m90,o110
