source,target
in8,m19
in13,m19
in15,m20
in17,m20
in7,m21
in7,m21
in7,m22
in6,m22
m20,m23
in16,m23
in9,m24
m22,m24
in14,m25
in9,m25
in18,m26
in10,m26
m23,m27
in9,m27
in11,m28
m20,m28
in18,m29
m20,m29
m23,m30
m27,m30
m26,m31
m23,m31
m21,m32
in18,m32
in18,m33
m21,m33
m26,m34
m28,m34
m31,m35
m32,m35
m34,m36
m28,m36
m35,m37
m30,m37
m33,m38
m33,m38
m24,m39
m22,m39
m36,m40
m25,m40
m31,m41
m27,m41
m24,m42
m38,m42
m33,m43
m36,m43
m30,m44
m31,m44
m39,m45
m38,m45
m32,m46
m39,m46
m40,m47
m41,m47
m31,m48
m30,m48
m31,m49
m34,m49
m48,m50
m33,m50
m45,m51
m43,m51
m47,m52
m42,m52
m44,m53
m36,m53
m53,m54
m37,m54
m48,m55
m43,m55
m40,m56
m43,m56
m43,m57
m49,m57
m44,m58
m54,m58
m51,m59
m52,m59
m59,m60
m51,m60
m50,m61
m55,m61
m58,m62
m51,m62
m19,o63
m29,o64
m46,o65
m56,o66
m57,o67
m60,o68
m61,o69
m62,o70
