source,target
in25,m30
in8,m30
in24,m31
in20,m31
in19,m32
in3,m32
in5,m33
in6,m33
in9,m34
in15,m34
in21,m35
in18,m35
m31,m36
in13,m36
in23,m37
in23,m37
m37,m38
in9,m38
m33,m39
in29,m39
in11,m40
in15,m40
in13,m41
m33,m41
m32,m42
m32,m42
m37,m43
m38,m43
in21,m44
m40,m44
m31,m45
m33,m45
m41,m46
in17,m46
m31,m47
in18,m47
in20,m48
m36,m48
m36,m49
in28,m49
m42,m50
m42,m50
m38,m51
in25,m51
m41,m52
in23,m52
m47,m53
m41,m53
m32,m54
in26,m54
m40,m55
m54,m55
m43,m56
in27,m56
m53,m57
m32,m57
m38,m58
m40,m58
m39,m59
m30,m59
m53,m60
m59,m60
m40,m61
m49,m61
m49,m62
m36,m62
m48,m63
m59,m63
m58,m64
m45,m64
m39,m65
m37,m65
m39,m66
m65,m66
m49,m67
m48,m67
m64,m68
m44,m68
m50,m69
m65,m69
m50,m70
m44,m70
m49,m71
m42,m71
m66,m72
m56,m72
m72,m73
m51,m73
m55,m74
m61,m74
m70,m75
m73,m75
m62,m76
m52,m76
m51,m77
m63,m77
m55,m78
m60,m78
m53,m79
m51,m79
m79,m80
m61,m80
m55,m81
m66,m81
m79,m82
m57,m82
m61,m83
m79,m83
m75,m84
m69,m84
m73,m85
m61,m85
m70,m86
m67,m86
m72,m87
m73,m87
m81,m88
m77,m88
m67,m89
m61,m89
m74,m90
m86,m90
m74,m91
m80,m91
m82,m92
m65,m92
m89,m93
m89,m93
m70,m94
m93,m94
m92,m95
m80,m95
m89,m96
m94,m96
m71,m97
m96,m97
m92,m98
m85,m98
m75,m99
m91,m99
m79,m100
m93,m100
m93,m101
m83,m101
m89,m102
m73,m102
m86,m103
m80,m103
m98,m104
m101,m104
m103,m105
m102,m105
m78,m106
m102,m106
m87,m107
m79,m107
m86,m108
m92,m108
m93,m109
m102,m109
m99,m110
m103,m110
m104,m111
m97,m111
m84,m112
m101,m112
m89,m113
m94,m113
m100,m114
m95,m114
m96,m115
m96,m115
m102,m116
m103,m116
m34,o117
m35,o118
m46,o119
m68,o120
m76,o121
m88,o122
m90,o123
m105,o124
m106,o125
m107,o126
m108,o127
m109,o128
m110,o129
m111,o130
m112,o131
m113,o132
m114,o133
m115,o134
m116,o135
