source,target
in12,m31
in19,m31
in30,m32
in6,m32
in19,m33
in3,m33
in21,m34
in14,m34
m34,m35
in25,m35
m34,m36
in27,m36
in19,m37
in24,m37
in24,m38
m33,m38
m37,m39
in27,m39
m33,m40
in17,m40
m36,m41
in27,m41
in29,m42
in16,m42
in20,m43
in24,m43
m41,m44
m39,m44
in18,m45
m32,m45
in22,m46
m43,m46
m33,m47
m41,m47
in27,m48
m36,m48
m36,m49
in28,m49
m49,m50
m44,m50
m46,m51
m44,m51
in28,m52
in23,m52
m31,m53
m31,m53
m43,m54
m34,m54
m32,m55
in25,m55
m33,m56
m48,m56
m54,m57
in30,m57
m36,m58
m46,m58
m55,m59
m36,m59
m57,m60
m44,m60
m39,m61
m58,m61
m48,m62
m59,m62
m49,m63
m39,m63
m38,m64
m43,m64
m60,m65
m43,m65
m36,m66
m62,m66
m49,m67
m42,m67
m62,m68
m46,m68
m50,m69
m63,m69
m43,m70
m46,m70
m57,m71
m42,m71
m66,m72
m54,m72
m70,m73
m61,m73
m70,m74
m63,m74
m72,m75
m66,m75
m48,m76
m64,m76
m56,m77
m70,m77
m55,m78
m59,m78
m51,m79
m74,m79
m51,m80
m59,m80
m62,m81
m71,m81
m56,m82
m59,m82
m64,m83
m63,m83
m60,m84
m68,m84
m62,m85
m56,m85
m77,m86
m63,m86
m78,m87
m76,m87
m71,m88
m82,m88
m74,m89
m86,m89
m83,m90
m64,m90
m78,m91
m63,m91
m87,m92
m81,m92
m83,m93
m75,m93
m93,m94
m84,m94
m78,m95
m85,m95
m80,m96
m76,m96
m86,m97
m95,m97
m88,m98
m96,m98
m86,m99
m92,m99
m99,m100
m79,m100
m89,m101
m91,m101
m89,m102
m87,m102
m90,m103
m91,m103
m79,m104
m88,m104
m92,m105
m80,m105
m98,m106
m99,m106
m81,m107
m105,m107
m88,m108
m107,m108
m103,m109
m86,m109
m105,m110
m83,m110
m88,m111
m89,m111
m89,m112
m86,m112
m92,m113
m98,m113
m90,m114
m104,m114
m98,m115
m109,m115
m95,m116
m109,m116
m88,m117
m116,m117
m94,m118
m105,m118
m108,m119
m102,m119
m93,m120
m99,m120
m91,m121
m103,m121
m105,m122
m104,m122
m114,m123
m110,m123
m102,m124
m98,m124
m108,m125
m116,m125
m110,m126
m119,m126
m117,m127
m100,m127
m106,m128
m122,m128
m127,m129
m106,m129
m105,m130
m128,m130
m109,m131
m103,m131
m112,m132
m118,m132
m119,m133
m109,m133
m119,m134
m125,m134
m109,m135
m130,m135
m110,m136
m118,m136
m122,m137
m120,m137
m118,m138
m117,m138
m129,m139
m128,m139
m123,m140
m135,m140
m119,m141
m123,m141
m139,m142
m130,m142
m135,m143
m121,m143
m123,m144
m120,m144
m133,m145
m138,m145
m116,m146
m117,m146
m136,m147
m126,m147
m130,m148
m146,m148
m141,m149
m123,m149
m124,m150
m120,m150
m146,m151
m136,m151
m138,m152
m142,m152
m150,m153
m125,m153
m145,m154
m150,m154
m148,m155
m143,m155
m155,m156
m132,m156
m151,m157
m144,m157
m136,m158
m143,m158
m141,m159
m150,m159
m136,m160
m150,m160
m147,m161
m133,m161
m155,m162
m137,m162
m153,m163
m147,m163
m139,m164
m136,m164
m158,m165
m140,m165
m146,m166
m157,m166
m139,m167
m148,m167
m157,m168
m141,m168
m165,m169
m146,m169
m35,o170
m40,o171
m45,o172
m47,o173
m52,o174
m53,o175
m65,o176
m67,o177
m69,o178
m73,o179
m97,o180
m101,o181
m111,o182
m113,o183
m115,o184
m131,o185
m134,o186
m149,o187
m152,o188
m154,o189
m156,o190
m159,o191
m160,o192
m161,o193
m162,o194
m163,o195
m164,o196
m166,o197
m167,o198
m168,o199
m169,o200
